,year,jsmm,cms,cmslag,lagdiff,yoydiff,deviation,percentDiff,rainrank
0,2010,911.0,91.1,,,,4.689999999999998,,3.0
1,2011,848.0,84.8,91.1,-6.299999999999997,-6.299999999999997,-1.6099999999999994,-7.0,5.0
2,2012,864.0,86.4,84.8,1.6000000000000085,1.6000000000000085,-0.009999999999990905,2.0,4.0
3,2013,946.0,94.6,86.4,8.199999999999989,8.199999999999989,8.189999999999998,9.0,2.0
4,2014,784.0,78.4,94.6,-16.19999999999999,-16.19999999999999,-8.009999999999991,-17.0,8.0
5,2015,765.0,76.5,78.4,-1.9000000000000057,-1.9000000000000057,-9.909999999999997,-2.0,9.0
6,2016,846.0,84.6,76.5,8.099999999999994,8.099999999999994,-1.8100000000000023,11.0,6.0
7,2017,844.0,84.4,84.6,-0.19999999999998863,-0.19999999999998863,-2.009999999999991,-0.0,7.0
8,2018,864.0,86.4,84.4,2.0,2.0,-0.009999999999990905,2.0,4.0
9,2019,969.0,96.9,86.4,10.5,10.5,10.490000000000009,12.0,1.0
